split,feature,real_mean,real_std,sr_mean,sr_std,delta_abs,delta_pct,cohen_d_sr_minus_real,histogram_l1_distance,n_real,n_sr
train,mean_intensity,0.1360202619998357,0.07988783098798893,0.1309814297629047,0.07457044543768844,-0.005038832236930996,-3.7044717917835195,-0.06495733762172202,0.24627016608403407,13455,10749
train,std_intensity,0.16941667551480008,0.06054161851628157,0.15445405266297335,0.055892906994384275,-0.014962622851826729,-8.831847754226112,-0.25567192199325206,0.24627016608403407,13455,10749
train,contrast_p95_p5,0.4341963968831968,0.27595545741215116,0.3756377857990465,0.2484682884031835,-0.05855861108415028,-13.486664445943866,-0.2217273413079299,0.24627016608403407,13455,10749
train,entropy,5.813159182497001,0.7314236106366323,5.387643085853168,0.7614073550422352,-0.4255160966438334,-7.31987690832479,-0.571248231447931,0.24627016608403407,13455,10749
train,local_var_8x8,0.01690640764621397,0.013026116541688034,0.011715138107669054,0.009069529448697563,-0.005191269538544915,-30.705929058799146,-0.4538138682715434,0.24627016608403407,13455,10749
train,enl_proxy,0.6750296917536647,0.7687556279447965,0.7494756959206531,0.554194234985923,0.07444600416698843,11.02855253277442,0.10918149507839385,0.24627016608403407,13455,10749
train,edge_energy,0.05918949978320196,0.032089511227831165,0.028092863857952333,0.014562120112052856,-0.031096635925249628,-52.53741970894221,-1.204420452442112,0.24627016608403407,13455,10749
val,mean_intensity,0.14558259172949037,0.08227883587097191,0.13917399028029578,0.07594688332224143,-0.006408601449194584,-4.402038302119598,-0.08057765977832895,0.24440350667253435,3263,2600
val,std_intensity,0.1776681373965017,0.062201148684137376,0.16070383723252094,0.05716731146374388,-0.01696430016398076,-9.548307542632744,-0.28263910636075895,0.24440350667253435,3263,2600
val,contrast_p95_p5,0.47727024475859786,0.2876576371058203,0.40710894195524117,0.2544632162963177,-0.0701613028033567,-14.70053990872553,-0.2565916564524944,0.24440350667253435,3263,2600
val,entropy,5.9296004671034925,0.7281899842635826,5.485536610626954,0.7564678528949426,-0.44406385647653845,-7.488933848748516,-0.5993875074098142,0.24440350667253435,3263,2600
val,local_var_8x8,0.019328131396635976,0.014892759334075634,0.013308570516439012,0.010448259152944863,-0.006019560880196964,-31.14403951606629,-0.4591868381233314,0.24440350667253435,3263,2600
val,enl_proxy,0.7022976079060546,0.9808007004510761,0.7680547775480123,0.5057123271096966,0.06575716964195777,9.363148742300769,0.08163700995267037,0.24440350667253435,3263,2600
val,edge_energy,0.06592886782400573,0.036049046516701676,0.03056539829999495,0.01613648965758948,-0.035363469524010774,-53.63882422169851,-1.2210757459564554,0.24440350667253435,3263,2600
test,mean_intensity,0.12909048883226987,0.07381465918447247,0.12343092431109347,0.06606584367490874,-0.0056595645211763995,-4.384183972287962,-0.0803187667034402,0.2393704992549222,2675,2154
test,std_intensity,0.16313799792639563,0.05633319682377762,0.14830724072807788,0.05081020945607335,-0.014830757198317751,-9.090927550133452,-0.2749508119219163,0.2393704992549222,2675,2154
test,contrast_p95_p5,0.4081612239539554,0.2611965945859564,0.3513511390813964,0.23042845650520963,-0.05681008487255895,-13.918540404717255,-0.2291235985799485,0.2393704992549222,2675,2154
test,entropy,5.742219698699558,0.7565250969655439,5.3162538477895085,0.7524333798280669,-0.4259658509100497,-7.418139208544113,-0.5644153594202818,0.2393704992549222,2675,2154
test,local_var_8x8,0.01599753039336337,0.012362381536745373,0.010945959858178657,0.008243591431214213,-0.0050515705351847125,-31.577189795273668,-0.4711168309494192,0.2393704992549222,2675,2154
test,enl_proxy,0.6676770354511488,0.7748423915732904,0.7419037534379903,0.6550171753555423,0.07422671798684155,11.11715905229172,0.10254417214474984,0.2393704992549222,2675,2154
test,edge_energy,0.05682047507386202,0.03151440809846117,0.026691795980511104,0.013588829612696758,-0.03012867909335092,-53.024335072270745,-1.1979430936154407,0.2393704992549222,2675,2154
all,mean_intensity,0.1366733192207208,0.07962096178577702,0.13130632614438026,0.07380871864703056,-0.005366993076340532,-3.9268769551384266,-0.06961718952784,0.24498047739110193,19393,15503
all,std_intensity,0.16993898034494553,0.06039844667582363,0.1546481574796578,0.0555356733262828,-0.01529082286528774,-8.997831359326826,-0.26233129891574974,0.24498047739110193,19393,15503
all,contrast_p95_p5,0.43785265831937026,0.27668062193307347,0.3775413895516291,0.24754515529252707,-0.06031126876774118,-13.774329702393247,-0.22833593130654964,0.24498047739110193,19393,15503
all,entropy,5.822966060881615,0.7363158632035061,5.394141876127484,0.7607862870030051,-0.42882418475413164,-7.364360023234149,-0.5738421136472887,0.24498047739110193,19393,15503
all,local_var_8x8,0.017188511392217765,0.013308874596736742,0.011875501541417333,0.009233291103931184,-0.005313009850800432,-30.910238410155973,-0.45506698815931673,0.24498047739110193,19393,15503
all,enl_proxy,0.6786034995604,0.8091627466319721,0.7515395318313464,0.5616675107774757,0.07293603227094636,10.74795993803258,0.10273510259473798,0.24498047739110193,19393,15503
all,edge_energy,0.059996668185185065,0.032828878099043765,0.02831286575057327,0.014750434621235318,-0.031683802434611795,-52.809269901936595,-1.2013159957120545,0.24498047739110193,19393,15503
